,authors,ArticleTitle,journal_title,volume,date,pubmed,doi_pii_str,abstract
0,"PS. Roy and BJ. Saikia, ","""Cancer and cure: A critical analysis."", ",Indian journal of cancer ,53(3) ,(2016). ,PUBMED: 28244479; ,DOI 10.4103/0019-509X.200658.,"Cancer is one of the most dreaded diseases of the 20th century and spreading further with continuance and increasing incidence in the 21st century. The situation is so alarming that every fourth person is having a lifetime risk of cancer. India registers more than 11 lakh new cases of cancer every year, whereas, this figure is above 14 million worldwide. Is cancer curable? The short answer to this question is ""Yes."" In fact, all cancers are curable if they are caught early enough. Cancer cells continue to grow unless one of four things occur: (1) The cancerous mass is removed surgically; (2) using chemotherapy or another type of cancer-specific medication, such as hormonal therapy; (3) using radiation therapy; or (4) the cancer cells shrink and disappear on their own."
1,"A. Okamoto, T. Watanabe, K. Kamata, K. Minaga and M. Kudo, ","""Recent Updates on the Relationship between Cancer and Autoimmune Pancreatitis."", ","Internal medicine (Tokyo, Japan) ",58(11) ,(Jun. 2019). ,PUBMED: 30713326; ,DOI 10.2169/internalmedicine.2210-18.,"Autoimmune pancreatitis (AIP) is now considered a pancreatic manifestation of a newly proposed disease condition, IgG4-related disease (IgG4-RD). IgG4-RD is characterized by enhanced IgG4 antibody responses and multiple organ involvements. Recent epidemiological studies have addressed the incidence of cancer in patients with AIP and/or IgG4-RD. Surprisingly, a significant number of AIP patients were detected with cancer at or within one year of the diagnosis of AIP. Furthermore, around 50% of all cancers detected in AIP patients comprised mainly 3 types (gastric, lung, and prostate cancer). Thus, AIP appears to be associated with cancer of other organs rather than the pancreas itself, which suggests that AIP is not a pre-cancerous condition of the pancreas. Moreover, the simultaneous occurrence of cancer and AIP in many patients has led to the establishment of an attractive concept that AIP might sometimes arise from co-existing cancers as a paraneoplastic syndrome."
2,"TA. Graham and A. Sottoriva, ","""Measuring cancer evolution from the genome."", ",The Journal of pathology ,241(2) ,(Jan. 2017). ,PUBMED: 27741350; ,DOI 10.1002/path.4821.,"The temporal dynamics of cancer evolution remain elusive, because it is impractical to longitudinally observe cancers unperturbed by treatment. Consequently, our knowledge of how cancers grow largely derives from inferences made from a single point in time - the endpoint in the cancer's evolution, when it is removed from the body and studied in the laboratory. Fortuitously however, the cancer genome, by virtue of ongoing mutations that uniquely mark clonal lineages within the tumour, provides a rich, yet surreptitious, record of cancer development. In this review, we describe how a cancer's genome can be analysed to reveal the temporal history of mutation and selection, and discuss why both selective and neutral evolution feature prominently in carcinogenesis. We argue that selection in cancer can only be properly studied once we have some understanding of what the absence of selection looks like. We review the data describing punctuated evolution in cancer, and reason that punctuated phenotype evolution is consistent with both gradual and punctuated genome evolution. We conclude that, to map and predict evolutionary trajectories during carcinogenesis, it is critical to better understand the relationship between genotype change and phenotype change. Copyright © 2016 Pathological Society of Great Britain and Ireland. Published by John Wiley & Sons, Ltd."
3,"DM. Hausman, ","""What Is Cancer?,"" ",Perspectives in biology and medicine ,62(4) ,(2019). ,PUBMED: 31761807; ,DOI 10.1353/pbm.2019.0046.,"This essay focuses on themes in Explaining Cancer: Finding Order in Disorder (2018) by Anya Plutynski, a monograph that has important things to say about both the peculiarities of cancers and our theories about them. Cancer's agents of destruction are human cells that have been recruited and to some extent transformed into pathological organisms or the building blocks of tumors. Cancers both undermine and exploit mechanisms of multicellular organization, and understanding them gives rise to difficult philosophical problems. In addition to sketching Plutynski's discussion of these problems, this essay defends Christopher Boorse's account of disease from Plutynski's criticisms, and it expresses some qualms about her treatment of scientific explanation."
4,"E. Dolgin, ","""Cancer's new normal."", ",Nature cancer ,2(12) ,(Dec. 2021). ,PUBMED: 35121920; ,DOI 10.1038/s43018-021-00304-7.,
5,"JJ. Wang, KF. Lei and F. Han, ","""Tumor microenvironment: recent advances in various cancer treatments."", ",European review for medical and pharmacological sciences ,22(12) ,(Jun. 2018). ,PUBMED: 29949179; ,DOI 10.26355/eurrev_201806_15270.,"This is a review regarding different types of cancer treatments. We aimed at analyzing the tumor microenvironment and the recent trends for the therapeutic applications and effectiveness for several kinds of cancers. Traditionally the cancer treatment was based on the neoplastic cells. Methods such as surgery, radiation, chemotherapy, and immunotherapy, which were targeted on the highly proliferating mutated tumor cells, have been investigated. The tumor microenvironment describes the non-cancerous cells in the tumor and has enabled to investigate the behavior and response of the cancer cells to a treatment process; it consists in a tissue that may have a predictive significance for tumor behavior and response to therapy. These include fibroblasts, immune cells and cells that comprise the blood vessels. It also includes the proteins produced by all of the cells present in the tumor that support the growth of the cancer cells. By monitoring changes in the tumor microenvironment using its molecular and cellular profiles as the tumor progresses will be vital for identifying cell or protein targets for the cancer prevention and its therapeutic purposes."
6,"Z. Liao, ZW. Tan, P. Zhu and NS. Tan, ","""Cancer-associated fibroblasts in tumor microenvironment - Accomplices in tumor malignancy."", ",Cellular immunology ,343 ,(Sep. 2019). ,PUBMED: 29397066; ,DOI 10.1016/j.cellimm.2017.12.003.,"There is much cellular heterogeneity in the tumor microenvironment. The tumor epithelia and stromal cells co-evolve, and this reciprocal relationship dictates almost every step of cancer development and progression. Despite this, many anticancer therapies are designed around druggable features of tumor epithelia, ignoring the supportive role of stromal cells. Cancer-associated fibroblasts (CAFs) are the dominant cell type within the reactive stroma of many tumor types. Numerous previous studies have highlighted a pro-tumorigenic role for CAFs via secretion of various growth factors, cytokines, chemokines, and the degradation of extracellular matrix. Recent works showed that CAFs secrete H2O2 to effect stromal-mediated field cancerization, transform primary epithelial cells, and aggravate cancer cell aggressiveness, in addition to inflammatory and mitogenic factors. Molecular characterization of CAFs also underscores the importance of Notch and specific nuclear receptor signaling in the activation of CAFs. This review consolidates recent findings of CAFs and highlights areas for future investigations."
7,"J. Saini and PK. Sharma, ","""Clinical, Prognostic and Therapeutic Significance of Heat Shock Proteins in Cancer."", ",Current drug targets ,19(13) ,(2018). ,PUBMED: 28831912; ,DOI 10.2174/1389450118666170823121248.,"Heat Shock Proteins (HSPs) constitute a group of proteins that play a crucial role in the process of protein folding. HSPs are also known to modulate a number of key apoptotic factors. High expression of these proteins is reported in an array of cancers, such as breast, prostate, colorectal, lung, ovarian, gastric, oral and esophageal cancer. Ample amount of investigations were carried out on a variety of cancers suggesting HSPs as a promising hallmark in cancers. Their expression profile in several tumors elucidates that they help in proliferation, invasion, metastasis and death of cancerous cells. Detection of the levels of heat shock proteins and their specific antibodies in the sera of diseased individuals can play an important role in cancer diagnosis."
8,"SM. Lippman and ET. Hawk, ","""Cancer prevention: from 1727 to milestones of the past 100 years."", ",Cancer research ,69(13) ,(Jul. 2009). ,PUBMED: 19491253; ,DOI 10.1158/0008-5472.CAN-09-1750.,"The rich, multidisciplinary history of cancer prevention recounted here begins with surgical and workplace recommendations of the 1700s and ends with 2009 results of the enormous (35,535 men) Selenium and Vitamin E [prostate] Cancer Prevention Trial (SELECT). This history comprises a fascinating array of chemopreventive, vaccine, surgical, and behavioral science research, both preclinical and clinical. Preclinical milestones of cancer prevention include the 1913 and 1916 mouse studies by Lathrop and Loeb of cancer development associated with pregnancy or cancer prevention through castration (oophorectomy), preventing chemically induced mouse carcinogenesis as early as 1929, energy restriction studies in the 1940s, the 1950s discoveries and later molecular characterizations of field cancerization and multistep carcinogenesis, and the effects of angiogenesis inhibition in genetically engineered mice reported in 2009. The extraordinary panoply of clinical research includes numerous large and smaller chemoprevention studies of nutritional supplements, other dietary approaches, a Bacillus Calmette-Guérin trial in 1976, molecular-targeted agents, and agents to prevent infection-related cancers such as hepatitis B virus vaccine to prevent liver cancer in 1984. Clinical surgical prevention includes removal of intraepithelial neoplasia detected by screening (including Pap testing developed in 1929 and culposcopy for cervical premalignancy and colonoscopy and polypectomy to prevent colorectal cancer begun in the 1960s) and prophylactic surgeries, such as in Lynch syndrome patients begun in 1977. Behavioral studies include smoking cessation and control beginning in the 1950s, obesity control rooted in studies of 1841, and genetic-counseling and cancer-survivorship studies. This history of pioneering events may help in better understanding who we are and what we want to achieve as cancer prevention researchers and practitioners."
9,"G. Chene, G. Lamblin, K. Le Bail-Carval, E. Beaufils, P. Chabert, P. Gaucherand, G. Mellier and Y. Coppens, ","""Lucy's cancer(s): A prehistorical origin?."", ","Gynecologie, obstetrique & fertilite ",44(12) ,(Dec. 2016). ,PUBMED: 27839715; ,DOI 10.1016/j.gyobfe.2016.10.001.,"The recent discovery of the earliest hominin cancer, a 1.7-million-year-old osteosarcoma from South Africa has raised the question of the origin of cancer and its determinants. We aimed to determine whether malignant and benign tumors exist in the past societies."
