,authors,ArticleTitle,journal_title,volume,date,pubmed,doi_pii_str,abstract
0,"L. Leins and D. Orchard, ","""Eczema management in school-aged children."", ",Australian family physician ,46(12) ,(Dec. 2017). ,PUBMED: 29464225; ,,"Atopic eczema is a relapsing inflammatory skin condition that can be lifelong. Management of eczema is often focused on infants, with many school-aged children undertreated. Uncontrolled eczema has a significant impact on the quality of life of the child and their family."
1,"AKC. Leung, JM. Lam, KF. Leong, AAM. Leung, AHC. Wong and KL. Hon, ","""Nummular Eczema: An Updated Review."", ",Recent patents on inflammation & allergy drug discovery ,14(2) ,(2020). ,PUBMED: 32778043; ,DOI 10.2174/1872213X14666200810152246.,Nummular eczema may mimic diseases that present with annular configuration and the differential diagnosis is broad.
2,"A. Sohn, A. Frankel, RV. Patel and G. Goldenberg, ","""Eczema."", ","The Mount Sinai journal of medicine, New York ",78(5) ,(2011). ,PUBMED: 21913202; ,DOI 10.1002/msj.20289.,"Atopic dermatitis, commonly known as eczema, is a common chronic, relapsing skin disease characterized by pruritus, disrupted epidermal barrier function, and immunoglobulin E-mediated sensitization to food and environmental allergens. Atopic dermatitis is a complex disease that arises from interactions between genes and the environment. Loci on several chromosomes have been identified, including a family of epithelium-related genes called the epidermal differentiation complex on chromosome 1q21. Mutations in filaggrin, a key protein in epidermal differentiation, have also been identified in early-onset and severe atopic dermatitis. There are 3 classical stages of eczema: infantile, childhood, and adulthood. The spectrum of eczema presentation varies widely from a variant that only affect the hand to major forms where a patient presents with erythroderma. The acute and subacute lesions of atopic dermatitis are often characterized by intensely pruritic, erythematous papules and vesicles with excoriations and a serous exudate. Chronic atopic dermatitis is exemplified by lichenified plaques and papules with excoriations. Atopic dermatitis patients are also at higher risk for skin infections, including bacterial and viral superinfections. Conventional therapy includes avoidance of irritants and potential allergens, as well as continued hydration of the skin with thick emollients. Topical corticosteroids and topical immunomodulators are often used primarily. Other therapies including phototherapy, antimicrobials, antihistamines, and systemic immunosuppressives are also options in certain situations."
3,"R. Raveendran, ","""Tips and Tricks for Controlling Eczema."", ",Immunology and allergy clinics of North America ,39(4) ,(Nov. 2019). ,PUBMED: 31563186; ,DOI 10.1016/j.iac.2019.07.006.,"Eczema is a chronic, relapsing, and remitting disease that can affect patients from infancy through adulthood. Severity of eczema ranges from mild to severe and can be plagued with recurrent flares. These flares can be difficult to treat and may require use of different strategies to address the issue. In this article, the author addresses different therapeutic options that can be used in those patients with difficult-to-treat eczema."
4,"F. Tétart and P. Joly, ","""Eczema in elderly people."", ",European journal of dermatology : EJD ,30(6) ,(Dec. 2020). ,PUBMED: 33258454; ,DOI 10.1684/ejd.2020.3915.,"Eczema is one of the most common reasons for consultation in older people. Many differential diagnoses must be eliminated, including scabies, bullous pemphigoid, and mycosis fungoides. Contact dermatitis may also be considered and the chemical(s) in question may vary according to the comorbidities involved, in particular, depending on whether or not the patient has a leg ulcer. Drug-induced eczematous eruptions can occur in elderly people, mainly with antihypertensive drugs (calcium inhibitors, diuretics, etc.). Recently, de novo atopic dermatitis has been described in elderly subjects, and the role of pollution has been evoked for these eczemas. Management of eczema in the elderly is challenging, and emollients and dermocorticosteroids are helpful. However, local corticosteroids may have some adverse effects in this vulnerable population, such as skin atrophy, diabetes and hypertension. Phototherapy, when possible, and low-dose methotrexate in particular may be interesting treatment options."
5,"M. Rożalski, L. Rudnicka and Z. Samochocki, ","""Atopic and Non-atopic Eczema."", ",Acta dermatovenerologica Croatica : ADC ,24(2) ,(Jun. 2016). ,PUBMED: 27477170; ,,"Atopic dermatitis is a common term used in the medical literature, but according to The Nomenclature Review Committee Of The World Allergy Organization the name which should be used is eczema. Eczema is divided into two subtypes: atopic and non-atopic. These subtypes differ in the level of total immunoglobulin E (IgE) in serum, response to allergens in skin prick tests, and detection of specific IgE antibodies. Non-atopic eczema is characterized by a low level of total IgE, negative skin prick tests, and undetectable specific IgE antibodies. It is estimated that 10-45% cases of eczema are non-atopic ones. In recent studies, other features differentiating these two subtypes have been identified, such as female predominance in non-atopic eczema. A more severe course, damage of the epidermal barrier, predominance of Th2 (T helper cells 2) response, and a lower positive reaction to metal patch tests are the characteristics of the atopic subtype. In our opinion, new diagnostic criteria taking into account the non-atopic subtype of eczema need to be established."
6,"N. Stollery, ","""Eczema."", ",The Practitioner ,251(1692) ,(Mar. 2007). ,PUBMED: 17441492; ,,
7,"MS. Kvam, JH. Alfonso, TL. Berents, BG. Randem and E. Stylianou, ","""Work-related hand eczema."", ","Tidsskrift for den Norske laegeforening : tidsskrift for praktisk medicin, ny raekke ",139(3) ,(Feb. 2019). ,PUBMED: 30754949; ,DOI 10.4045/tidsskr.18.0213.,
8,"J. Peters, ","""Eczema."", ",Nursing standard (Royal College of Nursing (Great Britain) : 1987) ,14(16) ,,PUBMED: 11209440; ,,"Eczema is a multifactorial disease that needs a combination of therapies to improve the quality of life for those suffering its symptoms. This article shows how to recognise the different types of eczema, details possible triggers and gives treatment options."
9,"VN. Sehgal and S. Jain, ","""Eczema/dermatitis."", ",Journal of the Indian Medical Association ,91(3) ,(Mar. 1993). ,PUBMED: 8350011; ,,
